AED
AFN
ALL
AMD
AOA
ARS
AUD
AWG
AZN
BBD
BDT
BGN
BHD
BIF
BMD
BND
BRL
BSD
BTC
BTN
BWP
BYN
BZD
CAD
CDF
CHF
CLP
CNH
CNY
COP
CRC
CUC
CUP
CZK
DJF
DKK
DOP
DZD
ERN
ETB
EUR
FJD
GBP
GEL
GGP
GHS
GMD
GNF
GTQ
GYD
HNL
HRK
HTG
HUF
ILS
IMP
INR
IQD
IRR
ISK
JEP
JMD
JPY
KES
KGS
KHR
KMF
KPW
KRW
KWD
KZT
LAK
LBP
LKR
LSL
LYD
MAD
MDL
MGA
MKD
MNT
MOP
MRO
MRU
MUR
MVR
MWK
MXN
MZN
NAD
NGN
NIO
NOK
NPR
NZD
OMR
PEN
PGK
PHP
PKR
PYG
QAR
RON
RSD
RUB
RWF
SBD
SCR
SDG
SEK
SGD
SHP
SOS
SRD
SSP
STN
SVC
SYP
SZL
THB
TJS
ANG
BAM
BOB
CLF
CVE
EGP
FKP
GIP
HKD
IDR
JOD
KYD
LRD
MMK
MYR
PAB
PLN
SAR
SLL
STD
TMT
TND
TOP
TRY
TTD
TWD
TZS
UAH
UGX
USD
UYU
UZS
VEF
VND
VUV
WST
XAF
XAG
XAU
XCD
XDR
XOF
XPD
XPF
XPT
YER
ZAR
ZMW
ZWL
